Timestamp start: 1747241808651
Random waveform, random seed
Total number of intervals = 96 (122635, 82746, 106244, 57271, 14450, 110250, 7663, 137998, 152289, 56207, 149809, 28872, 113034, 64320, 170396, 43849, 11298, 156875, 129235, 50243, 15118, 141253, 74905, 103597, 12721, 93538, 178698, 99613, 75295, 9164, 177479, 94367, 106166, 137980, 21753, 175518, 30864, 166639, 81086, 29961, 53853, 137971, 52788, 94480, 83744, 70392, 29391, 86678, 45490, 105447, 129370, 40392, 7201, 82199, 13397, 84434, 121388, 121876, 95006, 7641, 120479, 72582, 79773, 9727, 175493, 139078, 97364, 79125, 155913, 65966, 17402, 18802, 94330, 19244, 12666, 46768, 66448, 63788, 162581, 135736, 111176, 157667, 144721, 83382, 114510, 20870, 35971, 82552, 172120, 139272, 33514, 92396, 56394, 143943, 137155, 159972)
Average QPS expected = 87223
Timestamp start: 1747241810158
Timestamp end: 1747242770397

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      220.6   282.0    63.8   106.8   116.7   199.0   258.3   286.4   304.4   323.5   346.6   383.8   457.5   609.7  2088.0  86802.7    86678
read      227.7    88.1    59.1   111.6   123.3   230.1   270.0   287.9   299.7   313.4   330.4   356.6   413.7   539.6  1894.4  45551.0    45490
read      218.5   111.3    63.8   108.7   118.8   194.6   249.1   279.4   299.6   321.1   347.3   388.1   467.1   658.5  3167.0 105444.4   105447
read      219.8   103.4    63.8   112.6   124.4   197.8   244.8   273.2   293.6   316.5   344.2   386.0   467.6   710.6  2751.5 129337.4   129370
read      225.6    90.7    63.8   112.1   124.0   229.0   265.3   281.8   292.9   306.0   320.7   345.4   400.9   533.3  2363.5  40395.2    40392
read      191.5    75.5    68.9   108.8   122.8   191.2   209.9   219.6   226.8   234.0   245.0   261.1   301.8   567.2  3546.5   7201.3     7201
read      226.6   106.2    63.8   108.1   118.4   203.5   264.5   294.5   314.4   336.6   364.1   401.9   489.9   758.2  2006.6  81813.3    82199
read      208.6    65.2    68.9   116.0   132.8   210.1   232.1   243.7   251.7   261.5   272.7   291.6   332.9   540.7  1994.0  13418.5    13397
read      225.4   111.5    59.1   107.7   117.8   201.2   262.3   292.3   312.2   334.3   361.8   400.7   488.8   805.5  3089.0  84382.2    84434
read      224.6   114.3    59.1   111.6   123.3   199.4   248.8   278.8   300.1   324.4   355.2   399.0   498.7  1282.2  2418.7 121347.5   121388
