Timestamp start: 1747334859512
Random waveform, supplied seed
Total number of intervals = 192 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582, 81972, 42852, 51852, 109368, 55794, 35534, 90576, 95085, 100029, 72551, 84629, 74136)
Average QPS expected = 88139
Timestamp start: 1747334861017
Timestamp end: 1747335821277

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      238.9   117.3    68.9   123.4   139.0   221.0   262.9   287.3   305.3   326.8   355.7   401.0   510.2  1217.0  3792.6 178803.8   178750
read      203.8    93.5    68.9   101.9   111.3   180.7   228.9   258.0   277.7   300.2   327.1   367.0   452.9   683.5  1889.7 105546.2   105831
read      206.0   124.0    68.9   101.9   111.5   181.0   227.5   255.7   275.7   298.4   326.1   367.9   489.9  1003.8  4349.8 111008.8   110667
read      183.8    76.8    63.8   101.1   116.2   182.0   199.2   209.2   216.1   225.5   236.5   260.4   319.1  1018.6  2154.0   8810.8     8803
read      228.6   114.9    63.8   103.1   113.5   216.1   264.3   290.6   308.4   328.0   351.5   387.3   465.5  1138.2  2659.7  45425.0    45662
read      211.6    79.8    59.1   106.2   117.9   208.6   241.0   258.3   270.5   285.0   302.8   330.8   390.8   593.7  2392.7  30750.0    30867
read      220.3   105.6    63.8   103.8   114.1   211.7   253.6   275.9   292.2   310.9   334.1   368.0   435.6  1001.4  3498.2  45734.2    45656
read      205.2   133.0    63.8    99.6   108.9   178.8   228.4   257.1   276.4   297.4   323.3   363.6   488.1  1852.9  3857.0 101079.8   100938
read      200.1   123.4    63.8   102.1   111.9   176.7   217.8   243.4   262.6   284.4   310.9   349.1   456.1  1304.8  5123.3 132362.8   132360
read      224.5   169.3    59.1    97.9   107.1   202.2   254.3   282.3   301.9   324.3   352.6   396.5   538.5  2339.2  4990.2  67502.4    67591
read      211.0    96.3    63.8   100.8   111.3   206.9   242.7   261.4   273.8   288.8   307.1   334.9   398.5   795.7  2507.8  33832.4    33910
read      204.8   105.3    63.8    99.2   108.3   183.8   235.4   262.8   280.4   299.8   323.1   359.8   447.7  1020.6  2827.5  85737.0    85729
read      191.6    83.2    59.1   104.5   118.8   189.3   209.8   220.9   229.4   239.0   252.6   274.0   331.2   946.4  2487.8  12922.8    12884
read      218.6    95.1    63.8   100.8   111.1   210.9   255.2   278.2   293.7   311.3   332.7   364.0   429.9   710.4  2334.9  45566.8    45621
read      213.4    92.8    59.1   100.6   111.2   209.3   246.8   266.3   279.6   294.7   314.4   343.6   408.2   644.0  2528.9  36776.8    36938
read      220.6   123.9    63.8    98.5   107.9   207.7   255.5   281.3   299.5   319.4   344.0   381.2   467.8  1253.8  2825.6  57114.0    56902
read      204.6   109.0    63.8   100.2   109.3   178.7   228.5   257.9   278.0   300.3   328.2   370.7   489.3  1007.9  2939.1 102156.4   102243
read      189.8    91.0    59.1   102.8   116.4   186.1   207.1   218.4   227.3   236.6   251.5   273.8   336.0  1057.8  3225.7  14214.8    14085
read      205.6   128.4    59.1    99.6   108.6   180.7   231.3   259.0   277.1   297.3   322.1   362.4   473.2  1916.4  4116.1  93627.8    94103
read      218.8   117.8    63.8    98.4   107.7   205.5   253.3   278.6   296.2   316.0   340.6   376.7   463.6  1409.7  2985.6  58266.8    58175
read      215.8   170.6    63.8   108.4   119.4   186.6   224.3   248.0   266.1   287.8   315.8   362.6   738.5  2415.2  4866.9 151040.2   151312
read      200.3    86.0    68.9   100.0   108.8   183.1   233.6   258.8   274.8   292.8   314.4   345.0   411.7   542.7  1677.5  83190.2    83333
